[2020-03-17 12:45:53,238 INFO] Saving to ../bert_data/test.train.7.bert.pt
[2020-03-17 12:45:54,868 INFO] loading vocabulary file https://s3.amazonaws.com/models.huggingface.co/bert/bert-base-multilingual-uncased-vocab.txt from cache at /Users/sebastianveile/.cache/torch/pytorch_transformers/bb773818882b0524dc53a1b31a2cc95bc489f000e7e19773ba07846011a6c711.535306b226c42cebebbc0dabc83b92ab11260e9919e21e2ab0beb301f267b4c7
[2020-03-17 12:45:55,050 INFO] Processing ../test/test.train.12.json
[2020-03-17 12:46:00,321 INFO] Processed instances 1929
[2020-03-17 12:46:00,322 INFO] Saving to ../bert_data/test.train.12.bert.pt
[2020-03-17 12:46:02,004 INFO] loading vocabulary file https://s3.amazonaws.com/models.huggingface.co/bert/bert-base-multilingual-uncased-vocab.txt from cache at /Users/sebastianveile/.cache/torch/pytorch_transformers/bb773818882b0524dc53a1b31a2cc95bc489f000e7e19773ba07846011a6c711.535306b226c42cebebbc0dabc83b92ab11260e9919e21e2ab0beb301f267b4c7
[2020-03-17 12:46:02,169 INFO] Processing ../test/test.train.13.json
[2020-03-17 12:46:07,295 INFO] Processed instances 1929
[2020-03-17 12:46:07,296 INFO] Saving to ../bert_data/test.train.13.bert.pt
[2020-03-17 12:46:08,891 INFO] loading vocabulary file https://s3.amazonaws.com/models.huggingface.co/bert/bert-base-multilingual-uncased-vocab.txt from cache at /Users/sebastianveile/.cache/torch/pytorch_transformers/bb773818882b0524dc53a1b31a2cc95bc489f000e7e19773ba07846011a6c711.535306b226c42cebebbc0dabc83b92ab11260e9919e21e2ab0beb301f267b4c7
[2020-03-17 12:46:09,055 INFO] Processing ../test/test.train.6.json
[2020-03-17 12:46:13,991 INFO] Processed instances 1913
[2020-03-17 12:46:13,992 INFO] Saving to ../bert_data/test.train.6.bert.pt
[2020-03-17 12:46:15,552 INFO] loading vocabulary file https://s3.amazonaws.com/models.huggingface.co/bert/bert-base-multilingual-uncased-vocab.txt from cache at /Users/sebastianveile/.cache/torch/pytorch_transformers/bb773818882b0524dc53a1b31a2cc95bc489f000e7e19773ba07846011a6c711.535306b226c42cebebbc0dabc83b92ab11260e9919e21e2ab0beb301f267b4c7
[2020-03-17 12:46:15,715 INFO] Processing ../test/test.train.5.json
[2020-03-17 12:46:20,643 INFO] Processed instances 1947
[2020-03-17 12:46:20,644 INFO] Saving to ../bert_data/test.train.5.bert.pt
[2020-03-17 12:46:22,146 INFO] loading vocabulary file https://s3.amazonaws.com/models.huggingface.co/bert/bert-base-multilingual-uncased-vocab.txt from cache at /Users/sebastianveile/.cache/torch/pytorch_transformers/bb773818882b0524dc53a1b31a2cc95bc489f000e7e19773ba07846011a6c711.535306b226c42cebebbc0dabc83b92ab11260e9919e21e2ab0beb301f267b4c7
[2020-03-17 12:46:22,308 INFO] Processing ../test/test.train.9.json
[2020-03-17 12:46:27,328 INFO] Processed instances 1934
[2020-03-17 12:46:27,329 INFO] Saving to ../bert_data/test.train.9.bert.pt
